DATETIME;IDR
2020-12-08;14144.097738
2020-12-09;14103.559336
2020-12-10;14105.002064
2020-12-11;14080.003298
2020-12-12;14080.003298
2020-12-13;14080.003298
2020-12-14;14155.903634
2020-12-15;14164.752883
2020-12-16;14160.201821
2020-12-17;14121.999020
2020-12-18;14142.752264
2020-12-19;14142.752264
2020-12-20;14142.752264
2020-12-21;14254.103343
2020-12-22;14225.100090
2020-12-23;14261.902022
2020-12-24;14200.000000
2020-12-25;14200.000000
2020-12-26;14200.000000
2020-12-27;14200.000000
2020-12-28;14189.098944
2020-12-29;14116.648993
2020-12-30;14050.004071
2020-12-31;14050.004075
2021-01-01;14050.004075
2021-01-02;14050.004075
2021-01-03;14050.004075
2021-01-04;13876.602147
2021-01-05;13915.002852
2021-01-06;13914.897066
2021-01-07;14059.946237
2021-01-08;14079.453061
2021-01-09;14079.453061
2021-01-10;14079.453061
2021-01-11;14196.448245
2021-01-12;14144.996300
2021-01-13;14128.102910
2021-01-14;14043.995381
2021-01-15;14049.797905
2021-01-16;14049.797905
2021-01-17;14049.797905
2021-01-18;14135.999668
2021-01-19;14079.253215
2021-01-20;14051.797372
2021-01-21;13989.998355
2021-01-22;14097.902616
2021-01-23;14097.902616
2021-01-24;14097.902616
2021-01-25;14078.596116
2021-01-26;14104.298773
2021-01-27;14135.050355
2021-01-28;14117.252502
2021-01-29;14003.098220
2021-01-30;14003.098220
2021-01-31;14003.098220
2021-02-01;14078.053625
2021-02-02;14013.948854
2021-02-03;14024.199051
2021-02-04;14037.054018
2021-02-05;14036.752065
2021-02-06;14036.752065
2021-02-07;14036.752065
2021-02-08;14034.353430
2021-02-09;13986.946464
2021-02-10;13982.501855
2021-02-11;13964.847287
2021-02-12;13987.751900
2021-02-13;13987.751900
2021-02-14;13987.751900
2021-02-15;13898.351059
2021-02-16;13978.753191
2021-02-17;14062.504146
2021-02-18;14066.550811
2021-02-19;14082.552105
2021-02-20;14082.552105
2021-02-21;14082.552105
2021-02-22;14174.153136
2021-02-23;14106.497571
2021-02-24;14054.198913
2021-02-25;14193.946830
2021-02-26;14316.896296
2021-02-27;14316.896296
2021-02-28;14316.896296
2021-03-01;14315.348876
2021-03-02;14325.000000
2021-03-03;14255.602590
2021-03-04;14264.999169
2021-03-05;14394.446306
