DATETIME;IDR
2021-05-09;14270.146778
2021-05-10;14125.449914
2021-05-11;14177.649959
2021-05-12;14263.153986
2021-05-13;14334.748779
2021-05-14;14296.749979
2021-05-15;14296.749979
